date,pce_headline,pce_core,saving_rate,payems,unrate,real_pce,pce_headline_mom,pce_headline_yoy,pce_core_mom,pce_core_yoy,real_pce_mom,real_pce_yoy,payroll_change_k,fed_target_upper,reconstructed_july
2024-10-01,124.494,123.832,5.0,157945.0,4.1,122.25,0.26577752005412236,2.4776925356425616,0.29643788573372465,2.9865021082658982,0.12285012285013774,3.285710664830477,33.0,5.0,False
2024-11-01,124.637,123.962,4.9,158079.0,4.2,122.639,0.11486497341237634,2.5878034125423,0.10498094192132879,2.980710120125618,0.31820040899794844,3.2462557773418776,134.0,4.75,False
2024-12-01,124.979,124.196,4.3,158316.0,4.1,123.512,0.2743968484478998,2.7280946901200087,0.1887675255320076,2.9885896245190446,0.7118453346814713,3.559241030628768,237.0,4.5,False
2025-01-01,125.417,124.587,5.1,158268.0,4.0,122.767,0.35045887709135304,2.6073795303935166,0.3148249541047976,2.7801380994415092,-0.6031802577887158,3.3105282202755104,-48.0,4.5,False
2025-02-01,125.921,125.145,5.2,158310.0,4.2,122.62,0.4018593970514406,2.7104846734857135,0.44787979484215423,2.9686432938117457,-0.11973901781422436,2.734676095043409,42.0,4.5,False
2025-03-01,125.941,125.267,5.1,158377.0,4.2,123.575,0.015882974245751136,2.3594336708984365,0.09748691517839081,2.670294814316976,0.7788289022997885,3.1889842680116187,67.0,4.5,False
2025-04-01,126.15,125.502,5.5,158485.0,4.2,123.748,0.16595072295757518,2.2774259978433964,0.1875992879210031,2.614795918367352,0.1399959538741724,3.1456815643389424,108.0,4.5,False
2025-05-01,126.38,125.79,4.9,158498.0,4.3,123.575,0.18232263178754593,2.4580860654408676,0.22947841468663466,2.783883382495933,-0.13980023919578644,2.526341989546177,13.0,4.5,False
2025-06-01,126.743,126.121,4.6,158478.0,4.1,123.894,0.28722899192910045,2.5935129797068024,0.26313697432227556,2.8073722050588,0.25814282824196955,2.501861504095304,-20.0,4.5,False
2025-07-01,126.96,126.43,4.5,158542.0,4.3,124.505,0.1712126113473822,2.605547294239341,0.24500281475725583,2.86304724556794,0.4931635107430443,2.6278262733170132,64.0,4.5,False
2025-08-01,127.293,126.714,4.4,158472.0,4.3,124.869,0.26228733459359166,2.7476208541517,0.2246302301668779,2.912416347215907,0.2923577366370944,2.7880673680051427,-70.0,4.5,False
2025-09-01,127.625,126.954,4.3,158548.0,4.4,125.007,0.2608155986582039,2.7874424148706556,0.18940290733462373,2.825069249833967,0.11051582057997056,2.3808353808354,76.0,4.25,False
2025-10-01,127.871,127.243,3.9,158408.0,,125.271,0.19275220372183544,2.7125805259691216,0.22764150794776228,2.75453840687383,0.21118817346228447,2.47116564417178,-140.0,4.0,False
2025-11-01,128.152,127.469,3.8,158449.0,4.5,125.394,0.21975271953764697,2.8201898312699925,0.17761291387345945,2.8290927864990767,0.09818713030151915,2.2464305808103546,41.0,4.0,False
2025-12-01,128.576,127.886,3.6,158432.0,4.4,125.507,0.3308571071852118,2.878083518031027,0.32713836305298116,2.971110180682146,0.09011595451138277,1.6152276701858925,-17.0,3.75,False
2026-01-01,129.023,128.455,4.4,158592.0,4.3,125.265,0.34765430562468946,2.8752083050942012,0.44492751356677296,3.104657789335974,-0.19281793047399853,2.034748751700377,160.0,3.75,False
2026-02-01,129.539,128.961,3.8,158436.0,4.4,125.537,0.3999286948838554,2.873230041057484,0.3939122649955218,3.0492628550881085,0.21713966391250228,2.3788941445114897,-156.0,3.75,False
2026-03-01,130.403,129.343,3.5,158650.0,4.3,125.879,0.6669806004369283,3.5429288317545327,0.29621358395170994,3.253849776876594,0.27242964225686617,1.8644547845438009,214.0,3.75,False
2026-04-01,130.946,129.681,2.9,158798.0,4.3,126.13,0.4164014631565349,3.8018232263178797,0.26132067448567664,3.3298274131089656,0.19939783442828318,1.9248795940136398,148.0,3.75,False
2026-05-01,131.576,130.147,2.8,158861.0,4.3,126.597,0.4811143524811712,4.111410033233098,0.3593433116647615,3.463709356864597,0.37025291366050705,2.4454784543799235,63.0,3.75,False
2026-06-01,131.454,130.338,2.6,158881.0,4.2,127.157,-0.09272207697451629,3.71697056247684,0.14675712847780353,3.343614465473621,0.4423485548630701,2.633703004180976,20.0,3.75,False
2026-07-01,131.659,130.658,3.0,158858.0,4.1,127.167,0.2,3.7,0.2,3.3,0.0,2.138066744307454,-23.0,3.75,False
