,headline_index,core_index,supercore_index,headline_yoy,core_yoy,supercore_yoy,headline_1m_ann,headline_3m_ann,headline_6m_ann,core_1m_ann,core_3m_ann,core_6m_ann
2023-10-01,307.696,311.457,402.549,3.2512659098611785,4.027401561127464,5.49530897845798,1.6526061992406804,4.115761178895805,3.2292769499780105,3.605628900190583,3.2721833001305045,3.2378347613024605
2023-11-01,308.148,312.392,404.143,3.1333462745911866,4.017980521102138,5.471072266486421,1.7770910169550458,2.7273893850826347,3.1992455837861034,3.6625026893210677,3.6831136165865974,3.105141285229429
2023-12-01,308.741,313.195,405.338,3.3159099427102934,3.9154727698627045,5.3083090416881085,2.333879304315012,1.9207622630458943,3.13390118722785,3.128570765611882,3.4652901491389665,3.18596055530862
2024-01-01,309.698,314.319,408.051,3.0883429864855705,3.8583540949372663,5.369288691260099,3.7836955223349955,2.6280792400442676,3.369243919094478,4.392612796109652,3.726602252863942,3.4991433827232132
2024-02-01,310.967,315.564,410.432,3.157074141648697,3.7619647313751337,5.220088702027836,5.02938871635128,3.7098013040746336,3.2174265403533076,4.8580603016790125,4.123844617339589,3.9032454336986655
2024-03-01,312.345,316.792,413.179,3.4868349120836584,3.8161935067360986,5.396353284492772,5.449142262929696,4.751682384185307,3.326527653515221,4.770988141340027,4.673691934009683,4.067737108740355
2024-04-01,313.023,317.649,414.828,3.3607951262196734,3.6260251717590952,5.348059395229177,2.6361362279347045,4.364163046261771,3.4924808618126635,3.2950334317981556,4.305553834951281,4.015675238892125
2024-05-01,313.175,318.095,416.048,3.244278584003113,3.394419668976645,5.250003162195327,0.5842635543115371,2.870565875872777,3.2893312352465953,1.6979509200697684,3.2470284319256804,3.684509670672931
2024-06-01,313.044,318.39,416.733,2.9702579486470926,3.2654173234475614,5.064213429607256,-0.5008025693577722,0.8981734317599965,2.8068743638680838,1.1185690856472474,2.0330462208679068,3.344935276053529
2024-07-01,313.569,318.94,417.592,2.9414757935583014,3.2301916105644812,4.922085818664224,2.031163965756555,0.6995399416526604,2.515477880923833,2.0927380234418758,1.6356314502684377,2.961938733617653
2024-08-01,314.062,319.75,418.903,2.607144490692037,3.2850959364300047,4.930627049313796,1.9030663114440571,1.1377350962952892,2.0004707869528016,3.0905268478744974,2.097437468906649,2.67062398358624
2024-09-01,314.732,320.732,420.286,2.4264830315416708,3.2823574494668994,4.748351336128054,2.5902561332273644,2.174393670283825,1.5342784129045661,3.748271825166327,2.9749272681080408,2.5029049029215544
2024-10-01,315.631,321.731,421.731,2.578844053871343,3.298689706765301,4.765134182422526,3.482043660701839,2.6564215050467688,1.6732728774607075,3.802400501806269,3.5465600807173647,2.5866463937040063
2024-11-01,316.528,322.657,422.574,2.719472461284833,3.2859356193500444,4.560514471362875,3.4641248091995758,3.177967036508167,2.1527576618108224,3.5090188637978192,3.6864853325343283,2.8888937281819738
2024-12-01,317.604,323.259,423.207,2.870690967509981,3.2133335461932644,4.408419639905459,4.156399159830482,3.700356063169985,2.9345471848345905,2.26202849582271,3.1889826581728897,3.0818994008910305
2025-01-01,318.961,324.638,425.619,2.9909783078999608,3.282970485398584,4.305344184918081,5.249356660382709,4.287373998915989,3.468684261892374,5.2409472246567335,3.663479311476725,3.605003203040469
2025-02-01,319.679,325.465,427.309,2.8015834477613355,3.13755688228059,4.112008810229217,2.7349668685353823,4.041809643111183,3.608988054973228,3.100140023494502,3.5268028590894174,3.6066133322248284
2025-03-01,319.785,325.69,428.368,2.381981462805549,2.808783050077035,3.6761306842796992,0.39862559563823563,2.775240302020454,3.2367619300284867,0.8327438510391749,3.0422174966255877,3.1155739659096016
2025-04-01,320.302,326.467,429.724,2.32538823025783,2.7760200724699313,3.5908858611279904,1.9573975618781825,1.6923456209746446,2.981686141767992,2.900709829764958,2.2727036606615902,2.965743332701587
2025-05-01,320.62,326.893,430.841,2.3772651073680873,2.7658403935930886,3.555599353920713,1.197902689408381,1.1826401101946882,2.602265966850359,1.5771419565322464,1.766611699669407,2.642934228660754
2025-06-01,321.435,327.658,431.8,2.680453865910226,2.910895442696071,3.6155044116976676,3.09334935153478,2.079915296681878,2.426987774835898,2.8446874221972562,2.43901819502772,2.7401751652819994
2025-07-01,322.169,328.682,432.778,2.742618052167134,3.0544930080893096,3.636563918849034,2.7748903259100732,2.3520143949639083,2.02164683465782,3.815389835008731,2.7416486181804034,2.506907975682182
2025-08-01,323.291,329.7,433.93,2.9385917430316155,3.111806098514469,3.587226637192864,4.2601598028362275,3.3741661070110673,2.2725331938990623,3.7806327586460853,3.479257852621842,2.6193619784187216
2025-09-01,324.245,330.418,434.852,3.0225715847133294,3.0199668258857892,3.4657352374335426,3.5991228866874447,3.5429408107802596,2.8088256305546677,2.6448139011308047,3.412178786546005,2.9244483313000114
2025-11-01,325.063,331.043,435.344,2.988299628363511,2.8943434111105226,3.2278869706044766,3.0697009724261815,3.641850898125032,2.994913539677291,2.2936160358338453,2.904401786460853,2.8229930006349324
2025-12-01,326.031,331.814,436.025,3.00226204316838,2.837998245815232,3.183111123732174,3.6325734613665173,3.433477415357089,3.403817508643736,2.8308825519002934,2.5895288476667444,3.0334329652598635
2026-01-01,326.588,332.793,438.161,2.8286797395498997,2.9493378374616075,3.5334954289508502,2.0694854825609843,2.9218873377149013,3.231947035512217,3.598560541703133,2.906294082207017,3.15892633160777
